gefahr_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Technology,Ecology,Economy
26,1,1,0,1,0,1,0,1,1,1
61,0,0,0,1,0,0,0,0,0,0
109,1,0,1,1,0,1,0,0,1,1
111,1,0,1,1,0,1,0,0,1,1
125,1,0,1,1,0,1,0,0,1,1
128,0,0,0,1,1,0,1,0,0,0
131,0,0,0,1,1,0,1,0,0,0
165,1,1,0,1,0,1,0,1,1,1
185,1,1,0,1,0,1,0,1,1,1
261,1,1,0,1,0,1,0,1,1,1
338,1,1,0,1,0,1,0,1,1,1
341,1,1,0,1,0,1,0,1,1,1
352,0,0,0,1,0,0,0,0,0,0
365,0,0,0,1,0,0,0,0,0,0
366,0,0,0,1,0,0,0,0,0,0
376,0,0,0,1,0,0,0,0,0,0
442,1,0,1,1,0,1,0,0,1,1
443,1,0,1,1,0,1,0,0,1,1
