gefahr_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Technologie,Ecologie,Économie
26,1,1,0,1,0,1,0,1,1,1
61,0,0,0,1,0,0,0,0,0,0
109,1,0,1,1,0,1,0,0,1,1
111,1,0,1,1,0,1,0,0,1,1
125,1,0,1,1,0,1,0,0,1,1
128,0,0,0,1,1,0,1,0,0,0
131,0,0,0,1,1,0,1,0,0,0
142,0,0,0,0,0,1,0,0,0,0
165,1,1,0,1,0,1,0,1,1,1
185,1,1,0,1,0,1,0,1,1,1
261,1,1,0,1,0,1,0,1,1,1
338,1,1,0,1,0,1,0,1,1,1
341,1,1,0,1,0,1,0,1,1,1
352,0,0,0,1,0,0,0,0,0,0
365,0,0,0,1,0,0,0,0,0,0
366,0,0,0,1,0,0,0,0,0,0
376,0,0,0,1,0,0,0,0,0,0
442,1,0,1,1,0,1,0,0,1,1
443,1,0,1,1,0,1,0,0,1,1
