matrix_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Ecology,Economy
1,1,0,1,4,2,2,2,0,1,1
5,0,0,0,0,0,1,0,1,0,0
6,0,0,0,0,0,1,0,0,0,0
18,0,0,0,0,0,1,0,0,0,0
23,0,0,0,1,0,0,0,0,0,0
32,0,0,0,0,1,0,0,0,0,0
35,0,0,0,0,0,1,0,1,0,0
39,0,0,0,0,0,2,0,0,0,0
58,0,0,0,1,2,3,1,1,0,0
60,0,0,0,1,0,0,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0
99,0,0,0,0,0,2,0,0,0,0
100,0,0,0,0,0,2,0,0,0,0
133,1,0,1,1,0,1,0,0,1,1
138,0,0,0,0,1,0,0,0,0,0
