gefahr_id,Changement climatique,Innovations technologiques et progrès scientifiques,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
26,1,1,0,1,0,1,0,0,1,1,1,0
63,0,0,0,0,0,0,1,0,0,0,0,1
66,0,0,0,0,1,1,0,0,0,0,0,1
80,0,0,0,0,0,0,0,0,0,0,1,1
91,0,0,0,0,0,0,0,0,0,0,2,0
102,0,0,0,0,0,1,0,1,0,0,0,1
128,0,0,0,0,0,0,0,1,0,0,1,1
165,1,1,0,1,0,1,0,0,1,1,1,0
185,1,1,0,1,0,1,0,0,1,1,1,0
261,1,1,0,1,0,1,0,0,1,1,1,0
338,1,1,0,1,0,1,0,0,1,1,1,0
341,1,1,0,1,0,1,0,0,1,1,1,0
344,0,0,1,0,0,0,0,0,0,0,1,0
354,0,0,0,0,0,1,0,0,0,0,0,0
374,0,0,0,0,0,1,0,0,0,0,0,1
390,0,0,1,0,0,0,0,1,0,0,1,2
399,0,0,0,0,0,0,0,0,0,0,1,0
400,0,0,0,0,0,0,0,0,0,0,1,0
407,0,0,0,0,0,0,0,0,0,0,1,0
408,0,0,0,0,0,0,0,0,0,0,1,0
415,0,0,0,0,0,1,0,0,0,0,0,0
