gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,0,1,0,0,0,1,0,0,0,0,0,0,0
26,1,1,0,0,1,0,1,0,0,1,1,1,0
45,0,0,0,0,0,0,1,0,0,0,0,0,0
58,0,0,0,0,0,0,1,0,0,0,0,0,0
63,0,0,0,0,0,0,0,1,0,0,0,0,1
66,0,0,0,0,0,1,2,0,0,0,0,0,1
80,0,0,0,0,0,0,0,0,0,0,0,1,1
91,0,0,0,0,0,0,0,0,0,0,0,2,0
102,0,0,0,0,0,0,1,0,1,0,0,0,1
103,0,1,0,0,0,2,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,1,0,0,1,1
165,1,1,0,0,1,0,1,0,0,1,1,1,0
185,1,1,0,0,1,0,1,0,0,1,1,1,0
261,1,1,0,0,1,0,1,0,0,1,1,1,0
280,0,0,1,0,0,0,0,0,0,0,0,0,0
281,0,0,1,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,1,0,0,0,0,0,0
338,1,1,0,0,1,0,1,0,0,1,1,1,0
341,1,1,0,0,1,0,1,0,0,1,1,1,0
344,0,0,0,1,0,0,0,0,0,0,0,1,0
354,0,0,0,0,0,0,1,0,0,0,0,0,0
374,0,0,0,0,0,0,1,0,0,0,0,0,1
390,0,0,0,1,0,0,0,0,1,0,0,1,2
399,0,0,0,0,0,0,0,0,0,0,0,1,0
400,0,0,0,0,0,0,0,0,0,0,0,1,0
407,0,0,0,0,0,0,0,0,0,0,0,1,0
408,0,0,0,0,0,0,0,0,0,0,0,1,0
415,0,0,0,0,0,0,1,0,0,0,0,0,0
