steckbrief_id,Changement climatique,Innovations technologiques et progrès scientifiques,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
8,2,0,0,0,0,2,0,0,1,1,0,0
21,1,0,0,0,0,1,0,0,0,1,0,0
25,1,0,0,1,5,4,0,1,0,1,0,0
27,0,0,0,1,1,4,0,0,0,0,0,0
36,5,1,1,1,1,2,0,1,1,4,2,1
37,0,0,0,0,0,1,0,1,0,0,0,0
42,0,1,0,0,0,1,1,0,0,0,0,0
51,1,6,0,1,7,20,0,2,3,1,1,1
58,0,0,0,0,0,2,0,0,0,0,0,0
59,0,0,0,0,1,1,0,0,0,0,0,0
63,0,0,0,1,0,0,0,0,0,0,0,0
64,0,0,0,0,0,1,0,0,0,0,0,0
83,0,0,0,0,0,2,0,0,0,1,0,0
85,0,1,0,0,0,0,0,0,0,0,0,0
86,1,0,0,0,0,0,0,0,0,0,0,0
88,0,1,0,0,0,2,0,0,0,0,0,0
95,0,4,0,0,9,43,0,5,4,0,0,4
103,0,1,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,1,0,0,0,0,0,0
140,0,0,0,1,2,6,0,0,1,0,0,1
147,1,1,0,1,0,4,0,1,1,2,1,0
150,0,1,0,0,1,4,0,1,0,0,0,0
174,0,0,0,0,1,0,0,0,0,0,0,0
209,0,0,0,0,0,1,0,0,0,0,0,0
211,0,0,0,0,1,5,0,0,1,0,0,1
212,0,0,0,0,1,0,0,0,0,0,0,0
216,0,0,0,0,0,2,0,0,0,0,0,0
220,0,0,0,0,0,2,0,0,0,1,0,0
222,0,2,0,0,0,4,0,0,0,0,0,0
225,0,0,0,0,0,1,0,1,0,0,1,0
231,0,0,0,0,0,1,0,0,0,0,0,0
233,0,0,0,0,0,13,0,3,0,0,0,1
234,0,0,0,0,0,2,0,0,0,1,0,0
235,0,0,0,0,1,1,0,0,1,0,0,1
238,0,5,0,0,0,2,0,3,2,0,0,1
242,0,0,0,0,0,4,0,0,0,0,0,0
245,0,0,0,0,0,1,0,0,0,0,0,0
248,0,1,0,0,0,0,1,0,0,0,0,0
252,0,0,0,0,1,1,0,0,0,0,0,0
265,0,0,0,0,0,4,0,0,0,0,0,0
268,0,1,0,0,1,0,0,0,0,0,0,0
270,0,0,0,0,1,2,0,0,0,0,0,0
277,0,2,0,0,1,6,0,0,0,0,0,0
