steckbrief_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
1,0,0,1,0,1,1,0,1,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,0,0,0,2,0,5,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0,0,0,0,0
11,4,0,0,0,1,1,0,6,0,0,4,0,0
16,0,0,0,0,1,0,0,2,0,0,0,0,0
23,0,0,0,0,0,0,0,3,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,3,3,0,0,0,0,0,0
30,0,0,0,0,0,0,1,0,0,0,1,0,0
31,0,0,0,0,1,0,0,1,1,0,0,0,0
33,0,0,0,0,0,0,1,0,0,0,1,1,0
34,1,0,0,0,0,0,0,0,0,0,0,0,1
36,12,1,0,1,3,1,3,1,1,1,4,2,1
40,0,0,0,0,0,0,1,0,0,0,0,0,0
42,0,0,0,0,0,0,0,1,0,0,0,0,0
43,0,1,0,0,0,0,0,1,0,0,0,0,0
48,0,0,0,0,0,0,0,1,0,0,0,0,0
51,1,2,0,0,2,2,7,0,1,1,1,2,0
55,1,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,3,1,0,0,0,0,0,0
60,0,0,0,0,0,0,1,0,0,0,0,0,0
62,0,0,0,0,0,0,0,1,0,0,2,0,0
75,1,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,1,0,0,0,0,0
81,0,0,0,0,1,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,1,0,0,0,0,0
93,1,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,1,0,0,0,0,0
103,0,0,0,0,0,1,0,0,0,0,0,0,0
106,0,0,0,0,1,0,1,0,0,0,0,0,0
108,0,0,0,0,0,1,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,2,0,0
118,0,0,0,0,0,1,0,1,0,0,0,0,0
121,0,0,0,0,1,0,0,4,1,0,0,0,0
127,0,0,0,0,0,1,0,0,1,0,0,0,0
129,1,1,0,0,1,0,0,1,0,0,0,0,0
140,0,1,0,0,1,0,0,1,0,0,0,0,0
143,0,0,0,1,0,1,0,0,1,0,0,0,0
147,1,1,0,0,1,0,1,0,0,1,1,1,0
149,0,0,0,0,0,0,0,1,0,0,0,0,0
154,0,0,0,0,0,0,0,2,0,0,0,0,0
157,0,0,0,0,0,0,0,1,0,0,0,0,0
173,0,0,0,0,0,0,0,2,0,0,0,0,0
178,0,1,0,0,0,0,0,0,0,0,1,0,0
181,0,0,0,0,1,0,2,0,0,0,0,1,0
187,0,0,1,0,0,0,0,0,0,0,1,0,0
195,0,0,0,0,0,0,0,1,0,0,0,0,0
211,0,0,0,0,1,1,3,0,1,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,1
225,1,0,0,0,1,0,1,0,0,0,0,0,0
227,0,1,0,0,0,1,0,1,0,0,1,0,0
232,0,2,0,0,4,4,0,7,1,1,1,0,0
233,0,0,0,0,1,0,1,0,0,0,0,0,0
236,0,0,0,0,0,0,1,1,0,0,0,1,0
237,0,0,0,0,0,0,0,1,0,0,0,0,0
239,0,3,0,0,1,0,0,0,0,0,0,0,0
244,0,1,0,0,6,2,1,4,0,2,0,0,0
247,0,0,0,0,0,0,0,0,0,0,1,0,0
252,0,0,0,0,0,0,2,0,0,0,0,0,0
257,0,0,0,0,0,0,1,4,0,0,0,1,0
258,2,0,0,0,1,0,1,0,0,0,0,1,0
261,0,0,0,0,0,0,0,1,0,0,0,0,0
262,0,0,0,0,0,0,0,1,0,0,0,0,0
263,0,0,0,0,0,0,0,2,0,0,0,0,0
265,0,0,0,0,0,0,1,0,0,0,0,0,0
267,0,0,0,0,0,0,0,3,0,0,0,0,0
271,2,0,0,0,2,0,0,0,0,0,0,0,0
272,0,0,0,0,1,0,1,0,0,0,1,1,1
276,0,0,0,0,0,0,0,0,0,0,1,0,0
277,0,0,0,0,1,0,0,1,0,0,0,0,0
